stock,date,db_rows,db_close_rows,qlib_close_rows,qlib_close_non_null,qlib_close_file_exists,qlib_close_bin
000890.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000890.sz/close.1min.bin
000893.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000893.sz/close.1min.bin
000895.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000895.sz/close.1min.bin
000897.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000897.sz/close.1min.bin
000899.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000899.sz/close.1min.bin
000901.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000901.sz/close.1min.bin
000906.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000906.sz/close.1min.bin
000908.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000908.sz/close.1min.bin
000911.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000911.sz/close.1min.bin
000927.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000927.sz/close.1min.bin
000929.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000929.sz/close.1min.bin
000930.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000930.sz/close.1min.bin
000931.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000931.sz/close.1min.bin
000932.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000932.sz/close.1min.bin
000935.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000935.sz/close.1min.bin
000938.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000938.sz/close.1min.bin
000949.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000949.sz/close.1min.bin
000957.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000957.sz/close.1min.bin
000958.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000958.sz/close.1min.bin
000962.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000962.sz/close.1min.bin
000967.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000967.sz/close.1min.bin
000970.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000970.sz/close.1min.bin
000977.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000977.sz/close.1min.bin
000981.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000981.sz/close.1min.bin
000987.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000987.sz/close.1min.bin
000989.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000989.sz/close.1min.bin
000990.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000990.sz/close.1min.bin
000995.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000995.sz/close.1min.bin
001203.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001203.sz/close.1min.bin
001205.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001205.sz/close.1min.bin
001208.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001208.sz/close.1min.bin
001210.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001210.sz/close.1min.bin
001212.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001212.sz/close.1min.bin
001217.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001217.sz/close.1min.bin
001219.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001219.sz/close.1min.bin
001222.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001222.sz/close.1min.bin
001223.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001223.sz/close.1min.bin
001230.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001230.sz/close.1min.bin
